C:\EngNCERP\eegdata\dat\vmultiamino.NED	Frequency:	128Hz
²ÉÑù	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0.406	1306357.778	1301460.707	-1059955.354	-1006944.848	1291406.263	1292189.293	-922773.838	-985075.556	-1002702.626	-981095.859	-912901.616	-988095.253	2016801.212	-1003939.293	1258955.354	-1012856.566	2016801.212	-996701.717	1985587.374	1866240.707	2016801.212	-953072.424	-583486.061	-1039931.111	
0.414	1314603.838	1310875.455	1412895.960	1497825.657	1300932.323	1301867.677	1565229.192	1511556.263	1517237.475	1541529.394	1534247.071	1537892.121	2016801.212	1522832.929	1930067.980	1514974.848	2016801.212	1522789.899	2016801.212	2016801.212	2016801.212	1566054.242	1775839.192	1485371.717	
0.422	1315341.616	1311642.525	2016801.212	2016801.212	1302118.485	1302990.909	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	
0.430	1317409.596	1313697.071	1927549.091	1775699.091	1304234.444	1305113.838	1614013.838	1761119.293	1820636.061	1738938.384	1992452.828	1751765.859	2016801.212	1775068.990	2016801.212	1790356.465	2016801.212	1813217.172	2016801.212	2016801.212	2016801.212	1721800.000	569796.061	1848696.970	
0.438	1315034.646	1310781.212	-14527.071	-558582.121	1301530.404	1302268.889	-871479.798	-582796.869	-469704.040	-680740.101	289878.687	-657275.960	2016801.212	-601521.616	1859810.606	-564738.384	2016801.212	-489693.434	2016801.212	1838426.465	2016801.212	-718925.859	-1614693.939	-392244.141	
0.445	1317697.576	1313548.182	-1259908.586	-1244347.677	1304058.788	1305055.253	-1182377.071	-1229558.283	-1239698.283	-1227547.071	-1108428.485	-1232505.354	2016801.212	-1243281.010	1210419.192	-1250562.626	2016801.212	-1235467.374	1978338.788	1992023.535	2016801.212	-1206041.212	-875739.293	-1261585.859	
0.453	1318361.313	1314774.747	1139989.697	1252329.596	1305016.768	1306102.222	1342768.889	1267521.212	1270304.848	1305090.101	1290691.515	1300652.424	2016801.212	1281409.798	1851357.576	1269162.424	2016801.212	1277850.909	2016801.212	2016801.212	2016801.212	1336378.889	1622284.747	1235268.586	
0.461	1317835.354	1314426.364	2016801.212	2016801.212	1304999.697	1305924.545	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	
0.469	1315846.465	1312086.364	1990745.051	1905370.606	1302655.051	1303674.343	1792646.061	1895583.232	1946334.747	1887568.687	2016801.212	1897154.040	2016801.212	1914918.485	2016801.212	1922331.818	2016801.212	1941845.657	2016801.212	2016801.212	2016801.212	1889359.192	1004743.636	1961857.879	
0.477	1309674.343	1305036.263	394109.899	-141052.020	1295605.152	1296377.374	-498352.525	-162333.535	-12908.485	-274906.768	741914.545	-245704.141	2016801.212	-172522.121	1964437.172	-144686.869	2016801.212	-32622.525	2016801.212	2016801.212	2016801.212	-273554.242	-1441157.374	55164.242	
0.484	1305845.657	1300883.030	-1345585.455	-1392801.010	1291028.889	1291709.899	-1364452.323	-1381291.919	-1384421.717	-1393961.717	-1156061.717	-1395697.172	2016801.212	-1399292.424	1374724.343	-1402751.616	2016801.212	-1382696.869	2016801.212	2016801.212	2016801.212	-1386507.273	-1112173.535	-1394198.687	
0.492	1312131.010	1308114.848	845940.909	964873.636	1298213.535	1299154.242	1079505.455	986855.455	974366.263	1025793.434	1012262.525	1020985.354	2016801.212	994953.232	1809537.879	980850.202	2016801.212	984265.556	2016801.212	2016801.212	2016801.212	1043706.970	1437502.424	936000.404	
0.500	1313877.778	1310392.424	2016801.212	2016801.212	1300551.515	1301472.020	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	
0.508	1313296.061	1309370.707	2016801.212	1975207.677	1300096.869	1300692.121	1896427.576	1965225.455	2008349.798	1968893.737	2016801.212	1976220.808	2016801.212	1988561.010	2016801.212	1994361.212	2016801.212	2004777.879	2016801.212	2016801.212	2016801.212	1969885.859	1327445.253	2016801.212	
0.516	1316437.374	1312249.293	753283.434	239672.020	1303387.980	1303713.737	-152234.848	205437.677	382280.606	88975.657	1063095.960	123581.818	2016801.212	207621.313	2001662.727	240710.505	2016801.212	355880.606	2016801.212	2016801.212	2016801.212	88607.071	-1218923.939	440734.141	
0.523	1313951.818	1310070.808	-1370626.667	-1485076.465	1300614.444	1301358.485	-1508438.485	-1479031.313	-1459909.798	-1508046.869	-1155823.636	-1506156.364	2016801.212	-1497070.303	1397871.616	-1495581.414	2016801.212	-1462759.596	2016801.212	2016801.212	2016801.212	-1499760.909	-1328639.293	-1459449.394	
0.531	1314214.646	1310354.444	475800.404	599746.970	1300625.051	1301596.061	719086.465	631552.222	612208.586	662789.596	657123.737	656453.535	2016801.212	629430.202	1693608.485	611857.374	2016801.212	624553.131	2016801.212	2016801.212	2016801.212	692881.212	1179315.051	572017.374	
0.539	1312036.061	1307991.515	1989106.667	2009272.020	1298076.768	1298932.323	2012158.283	2007440.101	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	2016801.212	
